pertanyaan,jawaban
Apa saja yang dinilai oleh supervisor perusahaan dan dosen penguji dalam sidang KP?,"Supervisor perusahaan dan dosen penguji akan menilai kualitas laporan KP dan paparan presentasi mahasiswa. Selain itu, mulai 1 Desember 2025, akan ada tambahan penilaian dari 3 mahasiswa lain atas kualitas laporan dan paparan tersebut."
Bagaimana aturan berpakaian saat sidang KP?,Mahasiswa wajib mengenakan pakaian formal dan **Jaket Kuning** selama sidang.
Apakah selama sidang KP saya boleh bertanya ke teman lewat chat?,"Tidak boleh. Selama sidang, mahasiswa tidak diperkenankan berkomunikasi dengan siapa pun, baik secara offline maupun online, kecuali mendapat izin dari penguji."
Saya sudah pernah mengambil Seminar semester lalu tapi belum lulus. Apakah saya perlu mendaftar ulang di semester ini?,"Ya, WAJIB mendaftar lagi di D'Office."
Berapa minimal entry bimbingan di D'Office untuk bisa sidang Seminar?,Minimal **15 entry** log/riwayat bimbingan langsung di D’Office (bukan upload PDF).
Apakah sidang Seminar melibatkan dosen penguji selain pembimbing?,Tidak. Sidang dilakukan hanya dengan pembimbing (tanpa dosen penguji lain). Pembimbing akan mengisi nilai sidang di D'Office.
"Setelah sidang skripsi, bagaimana cara mendapatkan catatan revisi?","Catatan revisi dapat diunduh di halaman Sidang Anda dengan mengklik judul sidang Anda, lalu klik **Print** pada bagian ""Lembar catatan revisi dan penetapan judul""."
Apakah lulus sidang skripsi berarti langsung lulus studi?,Tidak. Lulus sidang Skripsi/Tesis bukan berarti lulus studi. Kelulusan studi ditentukan melalui **Yudisium**.
Mengapa kita tidak boleh mengunggah berkas sidang di tanggal terakhir pendaftaran?,"Karena setelah mendaftar, diperlukan waktu untuk mencari jadwal sidang yang sesuai untuk penguji dan pembimbing. Prioritas penjadwalan diberikan ke S3, lalu S2, lalu S1. Jika semua mahasiswa mengunggah di akhir, akan terjadi penumpukan jadwal."
Apa saja berkas yang harus diunggah di halaman Persiapan Kelulusan D'Office untuk verifikasi di tingkat departemen?,"1. Scan lembar catatan perbaikan skripsi/tesis/desertasi yang telah ditandatangani lengkap
2. Buku skripsi/tesis/desertasi final (PDF, sudah ditandatangani)
3. Buku skripsi/tesis/desertasi final (MsWord/editable)
4. Paparan presentasi (PPT/editable)
5. Data hasil penelitian bila diperlukan (ZIP)
6. Naskah ringkas berbahasa Inggris format IEEE (5-15 halaman) atau format lain
7. Isi survey calon lulusan (jika dibutuhkan)"
Apa yang harus dilakukan jika gagal mengunggah berkas di D'Office untuk yudisium?,"Silakan unggah file di tempat lain (misalnya Google Drive), pastikan link dapat diakses **tanpa password**, lalu tulis link tersebut di sebuah file teks dan unggah file teks tersebut ke D'Office."
Apa saja berkas pendukung yang harus dikumpulkan untuk PPT-1?,"Berkas pendukung (no. 1,2,4 di-zip jadi satu, diupload di kolom Laporan):
1. Laporan (format seperti laporan KP + halaman Evaluasi Diri)
2. Surat Kesepakatan (ditandatangani industri, dosen, mahasiswa)
3. Log komprehensif kegiatan mingguan (diparaf supervisor)
4. Bukti capaian lain (sertifikat/draft paten/dokumen desain)
5. Rekaman video demo produk/hasil karya (10-15 menit)"
Berapa jam per minggu dan berapa minggu kegiatan PPT-1 harus dilaksanakan?,PPT-1 dilaksanakan secara paruh waktu antara **10–16 jam per minggu** dengan lama kegiatan antara **10–14 minggu**.
Apa nilai minimal untuk pengakuan 1 sertifikat level associate di PPT-2?,1 sertifikat level associate mendapatkan nilai **A-** (atau nilai lain sesuai hasil evaluasi panitia).
"Jika saya meraih juara 3 kompetisi tingkat nasional, nilai apa yang akan saya peroleh untuk PPT-2?","Juara 3 nasional (nasional 3 besar) mendapatkan nilai **A-**, sesuai pedoman penilaian kompetisi."
Apa saja kelengkapan berkas untuk pengakuan paper conference?,"1. Paper
2. Cover proceeding
3. Daftar isi/jadwal presentasi dari proceeding/program book
4. Sertifikat sebagai author/presenter
5. Foto saat presentasi (screenshot jika daring)
6. Bukti paper sudah terpublikasi (misal IEEE Xplore)
7. Bukti paper sudah terindeks (misal Scopus)"
